"Export for HP:0012823"
"Gene","Associated diseases"
"TBK1 (29110)","Amyotrophic lateral sclerosis (ORPHA:803), FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPH... (OMIM:616439)"
"ND1 (4535)","Isolated complex I deficiency (ORPHA:2609), MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), Leber hereditary optic neuropathy (ORPHA:104), LEBER OPTIC ATROPHY (OMIM:535000)"
"ASNS (440)","ASPARAGINE SYNTHETASE DEFICIENCY (OMIM:615574)"
"ND2 (4536)","Isolated complex I deficiency (ORPHA:2609), Leber hereditary optic neuropathy (ORPHA:104), LEBER OPTIC ATROPHY (OMIM:535000)"
"EBP (10682)","X-linked dominant chondrodysplasia punct... (ORPHA:35173), CHONDRODYSPLASIA PUNCTATA 2, X-LINKED DO... (OMIM:302960), MEND SYNDROME (OMIM:300960)"
"ND4 (4538)","MELAS (ORPHA:550), Leber hereditary optic neuropathy (ORPHA:104), LEBER OPTIC ATROPHY (OMIM:535000)"
"RNASET2 (8635)","LEUKOENCEPHALOPATHY, CYSTIC, WITHOUT MEG... (OMIM:612951)"
"ND4L (4539)","Leber hereditary optic neuropathy (ORPHA:104), LEBER OPTIC ATROPHY (OMIM:535000)"
"ND5 (4540)","MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), Leber hereditary optic neuropathy (ORPHA:104), LEBER OPTIC ATROPHY (OMIM:535000), MERRF (ORPHA:551)"
"ND6 (4541)","MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), Leber hereditary optic neuropathy (ORPHA:104), LEBER OPTIC ATROPHY (OMIM:535000)"
"ASS1 (445)","CITRULLINEMIA, CLASSIC (OMIM:215700)"
"CLDN16 (10686)","HYPOMAGNESEMIA 3, RENAL (OMIM:248250)"
"DCHS1 (8642)","MITRAL VALVE PROLAPSE, MYXOMATOUS 2 (OMIM:607829), VAN MALDERGEM SYNDROME 1 (OMIM:601390)"
"PTRH2 (51651)","NEUROLOGIC, ENDOCRINE, AND PANCREATIC DI... (OMIM:616263)"
"PTCH2 (8643)","Gorlin syndrome (ORPHA:377), BASAL CELL CARCINOMA, SUSCEPTIBILITY TO,... (OMIM:605462), BASAL CELL NEVUS SYNDROME (OMIM:109400), MEDULLOBLASTOMA (OMIM:155255)"
"MTR (4548)","HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA, CBL... (OMIM:250940)"
"SLC17A8 (246213)","DEAFNESS, AUTOSOMAL DOMINANT 25 (OMIM:605583)"
"AGK (55750)","CATARACT, AUTOSOMAL RECESSIVE CONGENITAL... (OMIM:614691), SENGERS SYNDROME (OMIM:212350), Congenital cataract-hypertrophic cardiom... (ORPHA:1369)"
"ABCB11 (8647)","CHOLESTASIS, BENIGN RECURRENT INTRAHEPAT... (OMIM:605479), CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAH... (OMIM:601847)"
"FLCN (201163)","Birt-Hogg-Dubé syndrome (ORPHA:122), COLORECTAL CANCER (OMIM:114500), PNEUMOTHORAX, PRIMARY SPONTANEOUS (OMIM:173600), POTOCKI-LUPSKI SYNDROME (OMIM:610883), BIRT-HOGG-DUBE SYNDROME (OMIM:135150), Familial spontaneous pneumothorax (ORPHA:2903), RENAL CELL CARCINOMA, NONPAPILLARY (OMIM:144700)"
"MTRR (4552)","HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA, CBL... (OMIM:236270), Methylcobalamin deficiency type cblE (ORPHA:2169)"
"MPC1 (51660)","MITOCHONDRIAL PYRUVATE CARRIER DEFICIENC... (OMIM:614741)"
"TRNF (4558)","MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), MERRF (ORPHA:551), MYOCLONIC EPILEPSY ASSOCIATED WITH RAGGE... (OMIM:545000)"
"SMN1 (6606)","SPINAL MUSCULAR ATROPHY, TYPE II (OMIM:253550), SPINAL MUSCULAR ATROPHY, TYPE I (OMIM:253300), SPINAL MUSCULAR ATROPHY, TYPE III (OMIM:253400), SPINAL MUSCULAR ATROPHY, TYPE IV (OMIM:271150)"
"FTL (2512)","Neuroferritinopathy (ORPHA:157846), Genetic hyperferritinemia without iron o... (ORPHA:254704), Hereditary hyperferritinemia with congen... (ORPHA:163), HYPERFERRITINEMIA WITH OR WITHOUT CATARA... (OMIM:600886), L-FERRITIN DEFICIENCY (OMIM:615604), NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:606159)"
"CARD11 (84433)","PERSISTENT POLYCLONAL B-CELL LYMPHOCYTOS... (OMIM:606445), CARD11 IMMUNODEFICIENCY (OMIM:615206), B-CELL EXPANSION WITH NFKB AND T-CELL AN... (OMIM:616452)"
"NDUFAF6 (137682)","LEIGH SYNDROME (OMIM:256000)"
"SMPD1 (6609)","NIEMANN-PICK DISEASE, TYPE B (OMIM:607616), NIEMANN-PICK DISEASE, TYPE A (OMIM:257200)"
"SMS (6611)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:309583)"
"MFSD8 (256471)","MACULAR DYSTROPHY WITH CENTRAL CONE INVO... (OMIM:616170), CEROID LIPOFUSCINOSIS, NEURONAL, 7 (OMIM:610951)"
"TRNK (4566)","Maternally-inherited diabetes and deafne... (ORPHA:225), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), Maternally-inherited cardiomyopathy and ... (ORPHA:1349), MERRF (ORPHA:551), MYOCLONIC EPILEPSY ASSOCIATED WITH RAGGE... (OMIM:545000)"
"TRNL1 (4567)","Maternally-inherited diabetes and deafne... (ORPHA:225), MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), Kearns-Sayre syndrome (ORPHA:480), MERRF (ORPHA:551), MYOCLONIC EPILEPSY ASSOCIATED WITH RAGGE... (OMIM:545000)"
"SNAP25 (6616)","MYASTHENIC SYNDROME, CONGENITAL, 18 (OMIM:616330)"
"RERE (473)","1p36 deletion syndrome (ORPHA:1606), NEURODEVELOPMENTAL DISORDER WITH OR WITH... (OMIM:616975)"
"COASY (80347)","NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:615643), COASY protein-associated neurodegenerati... (ORPHA:397725)"
"CERS1 (10715)","EPILEPSY, PROGRESSIVE MYOCLONIC, 8 (OMIM:616230)"
"TRNQ (4572)","MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), MERRF (ORPHA:551)"
"MAPKBP1 (23005)","NEPHRONOPHTHISIS 20 (OMIM:617271)"
"ATP1A2 (477)","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1 (OMIM:104290), Familial or sporadic hemiplegic migraine (ORPHA:569), MIGRAINE, FAMILIAL HEMIPLEGIC, 2 (OMIM:602481)"
"AP4B1 (10717)","SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSI... (OMIM:614066)"
"TRNS1 (4574)","Palmoplantar keratoderma-deafness syndro... (ORPHA:2202), DEAFNESS, AMINOGLYCOSIDE-INDUCED (OMIM:580000), MITOCHONDRIAL COMPLEX IV DEFICIENCY (OMIM:220110), MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), MERRF (ORPHA:551)"
"SNCA (6622)","PARKINSON DISEASE 4, AUTOSOMAL DOMINANT ... (OMIM:605543), DEMENTIA, LEWY BODY (OMIM:127750), PARKINSON DISEASE 1, AUTOSOMAL DOMINANT (OMIM:168601)"
"ATP1A3 (478)","ALTERNATING HEMIPLEGIA OF CHILDHOOD 2 (OMIM:614820), Cerebellar ataxia-areflexia-pes cavus-op... (ORPHA:1171), DYSTONIA 12 (OMIM:128235), CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS,... (OMIM:601338)"
"OCLN (100506658)","BAND-LIKE CALCIFICATION WITH SIMPLIFIED ... (OMIM:251290), Congenital intrauterine infection-like s... (ORPHA:1229)"
"TRNS2 (4575)","MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), Usher syndrome type 3 (ORPHA:231183), MERRF (ORPHA:551)"
"C9ORF72 (203228)","Amyotrophic lateral sclerosis (ORPHA:803), Progressive non-fluent aphasia (ORPHA:100070), Behavioral variant of frontotemporal dem... (ORPHA:275864), AMYOTROPHIC LATERAL SCLEROSIS AND/OR FRO... (OMIM:105550)"
"RNASEH1 (246243)","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WIT... (OMIM:616479)"
"TRNV (4577)","MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000)"
"TRNW (4578)","MELAS (ORPHA:550), MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, ... (OMIM:540000), MITOCHONDRIAL MYOPATHY (OMIM:251900)"
"SUFU (51684)","Gorlin syndrome (ORPHA:377), BASAL CELL NEVUS SYNDROME (OMIM:109400), MEDULLOBLASTOMA (OMIM:155255)"
"MUC1 (4582)","MEDULLARY CYSTIC KIDNEY DISEASE 1 (OMIM:174000)"
"YME1L1 (10730)","OPTIC ATROPHY 11 (OMIM:617302)"
"LMBRD1 (55788)","METHYLMALONIC ACIDURIA AND HOMOCYSTINURI... (OMIM:277380), Methylmalonic acidemia with homocystinur... (ORPHA:79284)"
"PLK4 (10733)","Autosomal recessive chorioretinopathy-mi... (ORPHA:2518), MICROCEPHALY AND CHORIORETINOPATHY, AUTO... (OMIM:616171), Seckel syndrome (ORPHA:808)"
"SNRPN (6638)","PRADER-WILLI SYNDROME (OMIM:176270), AUTISM (OMIM:209850)"
"ANO3 (63982)","DYSTONIA 24 (OMIM:615034)"
"MUSK (4593)","FETAL AKINESIA DEFORMATION SEQUENCE (OMIM:208150), Fetal akinesia deformation sequence (ORPHA:994), MYASTHENIC SYNDROME, CONGENITAL, 9, ASSO... (OMIM:616325)"
"SLX4 (84464)","FANCONI ANEMIA, COMPLEMENTATION GROUP P (OMIM:613951), Fanconi anemia (ORPHA:84), TRACHEOESOPHAGEAL FISTULA WITH OR WITHOU... (OMIM:189960)"
"ATP5F1A (498)","MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) D... (OMIM:615228), COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:616045)"
"MEGF10 (84466)","MYOPATHY, AREFLEXIA, RESPIRATORY DISTRES... (OMIM:614399)"
"AFF4 (27125)","CHOPS SYNDROME (OMIM:616368)"
"MGME1 (92667)","MITOCHONDRIAL DNA DEPLETION SYNDROME 11 (OMIM:615084)"
"MYBPC1 (4604)","ARTHROGRYPOSIS, DISTAL, TYPE 1B (OMIM:614335), LETHAL CONGENITAL CONTRACTURE SYNDROME 4 (OMIM:614915), Digitotalar dysmorphism (ORPHA:1146)"
"KIF1C (10749)","SPASTIC ATAXIA 2, AUTOSOMAL RECESSIVE (OMIM:611302)"
"GABRB1 (2560)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:617153)"
"LYRM7 (90624)","MITOCHONDRIAL COMPLEX III DEFICIENCY, NU... (OMIM:615838)"
"GABRB3 (2562)","Lennox-Gastaut syndrome (ORPHA:2382), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:617113)"
"SOX5 (6660)","LAMB-SHAFFER SYNDROME (OMIM:616803), Developmental and speech delay due to SO... (ORPHA:313892)"
"GABRG2 (2566)","GENERALIZED EPILEPSY WITH FEBRILE SEIZUR... (OMIM:611277), Dravet syndrome (ORPHA:33069)"
"SOX10 (6663)","PERIPHERAL DEMYELINATING NEUROPATHY, CEN... (OMIM:609136), Peripheral demyelinating neuropathy-cent... (ORPHA:163746), WAARDENBURG SYNDROME, TYPE 2E (OMIM:611584), WAARDENBURG SYNDROME, TYPE 4C (OMIM:613266), Kallmann syndrome (ORPHA:478), Waardenburg-Shah syndrome (ORPHA:897), Waardenburg syndrome type 2 (ORPHA:895)"
"GAD1 (2571)","CEREBRAL PALSY, SPASTIC, SYMMETRIC, AUTO... (OMIM:603513)"
"MYH2 (4620)","MYOPATHY, PROXIMAL, AND OPHTHALMOPLEGIA (OMIM:605637)"
"ATP6V1B2 (526)","ZIMMERMANN-LABAND SYNDROME 2 (OMIM:616455), DEAFNESS, CONGENITAL, AND ONYCHODYSTROPH... (OMIM:124480)"
"MYH7 (4625)","MYOPATHY, MYOSIN STORAGE (OMIM:608358), Familial isolated dilated cardiomyopathy (ORPHA:154), Ebstein malformation (ORPHA:1880), SCAPULOPERONEAL MYOPATHY, MYH7-RELATED (OMIM:181430), CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1 (OMIM:192600), MYOPATHY, MYOSIN STORAGE, AUTOSOMAL RECE... (OMIM:255160), CARDIOMYOPATHY, DILATED, 1S (OMIM:613426), MYOPATHY, CONGENITAL, WITH FIBER-TYPE DI... (OMIM:255310), MYOPATHY, DISTAL, 1 (OMIM:160500)"
"CTSF (8722)","CEROID LIPOFUSCINOSIS, NEURONAL, 13 (OMIM:615362)"
"MYH9 (4627)","SEBASTIAN SYNDROME (OMIM:605249), MAY-HEGGLIN ANOMALY (OMIM:155100), EPSTEIN SYNDROME (OMIM:153650), MACROTHROMBOCYTOPENIA AND PROGRESSIVE SE... (OMIM:600208), FECHTNER SYNDROME (OMIM:153640), DEAFNESS, AUTOSOMAL DOMINANT NONSYNDROMI... (OMIM:603622)"
"UPB1 (51733)","BETA-UREIDOPROPIONASE DEFICIENCY (OMIM:613161)"
"EOGT (285203)","ADAMS-OLIVER SYNDROME 4 (OMIM:615297), Adams-Oliver syndrome (ORPHA:974)"
"SETX (23064)","AMYOTROPHIC LATERAL SCLEROSIS 4, JUVENIL... (OMIM:602433), SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:606002)"
"ATP6AP1 (537)","IMMUNODEFICIENCY 47 (OMIM:300972)"
"EMC1 (23065)","CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, A... (OMIM:616875)"
"ATP7A (538)","OCCIPITAL HORN SYNDROME (OMIM:304150), Occipital horn syndrome (ORPHA:198), SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKE... (OMIM:300489), MENKES DISEASE (OMIM:309400), Menkes disease (ORPHA:565)"
"ADAT3 (113179)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:615286)"
"SPAST (6683)","SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT (OMIM:182601)"
"CENPJ (55835)","MICROCEPHALY 6, PRIMARY, AUTOSOMAL RECES... (OMIM:608393), Autosomal recessive primary microcephaly (ORPHA:2512), SECKEL SYNDROME 4 (OMIM:613676), Seckel syndrome (ORPHA:808)"
"GALNS (2588)","MORQUIO SYNDROME A (OMIM:253000)"
"WWOX (51741)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616211), 46,XY partial gonadal dysgenesis (ORPHA:251510), SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:614322), Squamous cell carcinoma of esophagus (ORPHA:99977)"
"SPG7 (6687)","SPASTIC PARAPLEGIA 7, AUTOSOMAL RECESSIV... (OMIM:607259)"
"ATRX (546)","MENTAL RETARDATION-HYPOTONIC FACIES SYND... (OMIM:309580), ALPHA-THALASSEMIA MYELODYSPLASIA SYNDROM... (OMIM:300448), Gastric neuroendocrine tumor (ORPHA:100075), ALPHA-THALASSEMIA/MENTAL RETARDATION SYN... (OMIM:301040), Alpha-thalassemia-X-linked intellectual ... (ORPHA:847), Alpha-thalassemia-myelodysplastic syndro... (ORPHA:231401)"
"MYO1E (4643)","FOCAL SEGMENTAL GLOMERULOSCLEROSIS 6 (OMIM:614131)"
"KIF1A (547)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 9 (OMIM:614255), SPASTIC PARAPLEGIA 30, AUTOSOMAL RECESSI... (OMIM:610357), PEHO syndrome (ORPHA:2836), Hereditary sensory and autonomic neuropa... (ORPHA:970), NEUROPATHY, HEREDITARY SENSORY AND AUTON... (OMIM:201300), NEUROPATHY, HEREDITARY SENSORY, TYPE IIC (OMIM:614213)"
"MYO5A (4644)","Neuroectodermal melanolysosomal disease (ORPHA:33445), GRISCELLI SYNDROME, TYPE 1 (OMIM:214450), Griscelli disease type 1 (ORPHA:79476), Griscelli disease type 3 (ORPHA:79478)"
"AUH (549)","3-methylglutaconic aciduria type 1 (ORPHA:67046), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I (OMIM:250950)"
"RTEL1 (51750)","PULMONARY FIBROSIS AND/OR BONE MARROW FA... (OMIM:616373), Dyskeratosis congenita (ORPHA:1775), DYSKERATOSIS CONGENITA, AUTOSOMAL RECESS... (OMIM:615190), Hoyeraal-Hreidarsson syndrome (ORPHA:3322), Idiopathic pulmonary fibrosis (ORPHA:2032)"
"MYO7A (4647)","USHER SYNDROME, TYPE I (OMIM:276900), Usher syndrome type 2 (ORPHA:231178), DEAFNESS, NEUROSENSORY, AUTOSOMAL RECESS... (OMIM:600060), Usher syndrome type 1 (ORPHA:231169), DEAFNESS, AUTOSOMAL DOMINANT NONSYNDROMI... (OMIM:601317)"
"SPR (6697)","Dopa-responsive dystonia due to sepiapte... (ORPHA:70594), DYSTONIA, DOPA-RESPONSIVE, DUE TO SEPIAP... (OMIM:612716)"
"AVPR2 (554)","DIABETES INSIPIDUS, NEPHROGENIC, X-LINKE... (OMIM:304800), Nephrogenic diabetes insipidus (ORPHA:223), NEPHROGENIC SYNDROME OF INAPPROPRIATE AN... (OMIM:300539)"
"GJB4 (127534)","Erythrokeratodermia variabilis (ORPHA:317), ERYTHROKERATODERMIA VARIABILIS ET PROGRE... (OMIM:133200)"
"NEXMIF (340533)","MENTAL RETARDATION, X-LINKED 98 (OMIM:300912), X-linked intellectual disability, Cantag... (ORPHA:85277)"
"ATP8A2 (51761)","CEREBELLAR ATAXIA, MENTAL RETARDATION, A... (OMIM:615268), Dysequilibrium syndrome (ORPHA:1766)"
"TMEM165 (55858)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:614727)"
"ZNF423 (23090)","NEPHRONOPHTHISIS 14 (OMIM:614844), Joubert syndrome with oculorenal defect (ORPHA:2318)"
"INPP5K (51763)","MUSCULAR DYSTROPHY, CONGENITAL, WITH CAT... (OMIM:617404), Marinesco-Sjögren syndrome (ORPHA:559)"
"GJB6 (10804)","CLOUSTON SYNDROME (OMIM:129500), KID syndrome (ORPHA:477), Hidrotic ectodermal dysplasia (ORPHA:189), DEAFNESS, X-LINKED 2 (OMIM:304400), DEAFNESS, AUTOSOMAL RECESSIVE 1A (OMIM:220290), DEAFNESS, AUTOSOMAL DOMINANT 3B (OMIM:612643), DEAFNESS, AUTOSOMAL RECESSIVE 1B (OMIM:612645)"
"SPTAN1 (6709)","West syndrome (ORPHA:3451), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:613477)"
"TMEM126B (55863)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"B2M (567)","AMYLOIDOSIS, FAMILIAL VISCERAL (OMIM:105200), IMMUNODEFICIENCY 43 (OMIM:241600), Variant ABeta2M amyloidosis (ORPHA:314652)"
"KIF1B (23095)","PHEOCHROMOCYTOMA (OMIM:171300), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:118210)"
"LRSAM1 (90678)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:614436)"
"SPTBN2 (6712)","SPINOCEREBELLAR ATAXIA 5 (OMIM:600224), SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:615386), Spinocerebellar ataxia type 5 (ORPHA:98766)"
"GARS (2617)","NEURONOPATHY, DISTAL HEREDITARY MOTOR, T... (OMIM:600794), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:601472)"
"CD164 (8763)","DEAFNESS, AUTOSOMAL DOMINANT 66 (OMIM:616969)"
"SRD5A2 (6716)","46,XY disorder of sex development due to... (ORPHA:753), PSEUDOVAGINAL PERINEOSCROTAL HYPOSPADIAS (OMIM:264600)"
"NAGA (4668)","SCHINDLER DISEASE, TYPE I (OMIM:609241), Alpha-N-acetylgalactosaminidase deficien... (ORPHA:79280), Alpha-N-acetylgalactosaminidase deficien... (ORPHA:79281), KANZAKI DISEASE (OMIM:609242), Alpha-N-acetylgalactosaminidase deficien... (ORPHA:79279)"
"NAGLU (4669)","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:616491), MUCOPOLYSACCHARIDOSIS TYPE IIIB (OMIM:252920)"
"AKR1D1 (6718)","BILE ACID SYNTHESIS DEFECT, CONGENITAL, ... (OMIM:235555), Congenital bile acid synthesis defect ty... (ORPHA:79303)"
"GATA1 (2623)","ANEMIA, X-LINKED, WITH OR WITHOUT NEUTRO... (OMIM:300835), Beta-thalassemia-X-linked thrombocytopen... (ORPHA:231393), THROMBOCYTOPENIA WITH BETA-THALASSEMIA, ... (OMIM:314050), Congenital erythropoietic porphyria (ORPHA:79277), DOWN SYNDROMETRISOMY 21, INCLUDED (OMIM:190685), Thrombocytopenia with congenital dyseryt... (ORPHA:67044), Blackfan-Diamond anemia (ORPHA:124), THROMBOCYTOPENIA, X-LINKED, WITH OR WITH... (OMIM:300367)"
"GATA2 (2624)","LYMPHEDEMA, PRIMARY, WITH MYELODYSPLASIA (OMIM:614038), IMMUNODEFICIENCY 21 (OMIM:614172), Deafness-lymphedema-leukemia syndrome (ORPHA:3226)"
"GATM (2628)","CEREBRAL CREATINE DEFICIENCY SYNDROME 3 (OMIM:612718)"
"GBA (2629)","Gaucher disease type 1 (ORPHA:77259), GAUCHER DISEASE, TYPE I (OMIM:230800), Gaucher disease type 2 (ORPHA:77260), GAUCHER DISEASE, PERINATAL LETHAL (OMIM:608013), Gaucher disease type 3 (ORPHA:77261), GAUCHER DISEASE, TYPE IIIC (OMIM:231005), GAUCHER DISEASE, TYPE II (OMIM:230900), Gaucher disease-ophthalmoplegia-cardiova... (ORPHA:2072), GAUCHER DISEASE, TYPE III (OMIM:231000), Fetal Gaucher disease (ORPHA:85212)"
"SPART (23111)","SPASTIC PARAPLEGIA 20, AUTOSOMAL RECESSI... (OMIM:275900)"
"GBE1 (2632)","GLYCOGEN STORAGE DISEASE IV (OMIM:232500), Adult polyglucosan body disease (ORPHA:206583), POLYGLUCOSAN BODY NEUROPATHY, ADULT FORM (OMIM:263570)"
"MPDZ (8777)","HYDROCEPHALUS, NONSYNDROMIC, AUTOSOMAL R... (OMIM:615219)"
"NCF2 (4688)","GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMA... (OMIM:233710), Chronic granulomatous disease (ORPHA:379)"
"SLC46A1 (113235)","Hereditary folate malabsorption (ORPHA:90045), FOLATE MALABSORPTION, HEREDITARY (OMIM:229050)"
"GCH1 (2643)","HYPERPHENYLALANINEMIA, BH4-DEFICIENT, B (OMIM:233910), DYSTONIA, DOPA-RESPONSIVE (OMIM:128230)"
"GCK (2645)","DIABETES MELLITUS, PERMANENT NEONATAL (OMIM:606176), HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL,... (OMIM:602485), MATURITY-ONSET DIABETES OF THE YOUNG, TY... (OMIM:125851), Hyperinsulinism due to glucokinase defic... (ORPHA:79299), Permanent neonatal diabetes mellitus (ORPHA:99885), DIABETES MELLITUS, NONINSULIN-DEPENDENT (OMIM:125853)"
"NDUFA1 (4694)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"MCCC2 (64087)","3-methylcrotonyl-CoA carboxylase deficie... (ORPHA:6), 3-METHYLCROTONYL-COA CARBOXYLASE 2 DEFIC... (OMIM:210210)"
"SLC25A26 (115286)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:616794)"
"NDUFA2 (4695)","LEIGH SYNDROME (OMIM:256000)"
"TNFRSF11A (8792)","FAMILIAL EXPANSILE OSTEOLYSIS (OMIM:174810), OSTEOPETROSIS, AUTOSOMAL RECESSIVE 7 (OMIM:612301)"
"COL25A1 (84570)","FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENI... (OMIM:616219), Duane retraction syndrome (ORPHA:233)"
"SSR4 (6748)","SSR4-CDG (ORPHA:370927), CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:300934)"
"TUBGCP4 (27229)","MICROCEPHALY AND CHORIORETINOPATHY, AUTO... (OMIM:616335), Autosomal recessive chorioretinopathy-mi... (ORPHA:2518)"
"PDE10A (10846)","DYSKINESIA, LIMB AND OROFACIAL, INFANTIL... (OMIM:616921), STRIATAL DEGENERATION, AUTOSOMAL DOMINAN... (OMIM:616922)"
"NEB (4703)","NEMALINE MYOPATHY 2 (OMIM:256030)"
"TUBA8 (51807)","POLYMICROGYRIA WITH OPTIC NERVE HYPOPLAS... (OMIM:613180)"
"C12ORF57 (113246)","TEMTAMY SYNDROME (OMIM:218340), Temtamy syndrome (ORPHA:1777)"
"NDUFA9 (4704)","LEIGH SYNDROME (OMIM:256000)"
"NDUFA10 (4705)","LEIGH SYNDROME (OMIM:256000)"
"SUCLG1 (8802)","MITOCHONDRIAL DNA DEPLETION SYNDROME 9 (... (OMIM:245400)"
"COQ2 (27235)","COENZYME Q10 DEFICIENCY, PRIMARY, 1 (OMIM:607426)"
"SUCLA2 (8803)","Mitochondrial DNA depletion syndrome, en... (ORPHA:1933), MITOCHONDRIAL DNA DEPLETION SYNDROME 5 (... (OMIM:612073)"
"NDUFB3 (4709)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"ADA2 (51816)","POLYARTERITIS NODOSA, CHILDHOOD-ONSET (OMIM:615688), SNEDDON SYNDROME (OMIM:182410), Sneddon syndrome (ORPHA:820)"
"BBS9 (27241)","BARDET-BIEDL SYNDROME 9 (OMIM:615986), Bardet-Biedl syndrome (ORPHA:110)"
"BCS1L (617)","BJORNSTAD SYNDROME (OMIM:262000), MITOCHONDRIAL COMPLEX III DEFICIENCY, NU... (OMIM:124000), GRACILE syndrome (ORPHA:53693), Björnstad syndrome (ORPHA:123), LEIGH SYNDROME (OMIM:256000), GRACILE SYNDROME (OMIM:603358)"
"NDUFB9 (4715)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"DPM1 (8813)","DPM1-CDG (ORPHA:79322), CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:608799)"
"GFAP (2670)","ALEXANDER DISEASE (OMIM:203450)"
"NDUFS1 (4719)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010)"
"NDUFS2 (4720)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010), Leber hereditary optic neuropathy (ORPHA:104)"
"MMADHC (27249)","Methylmalonic acidemia with homocystinur... (ORPHA:79283), METHYLMALONIC ACIDURIA AND HOMOCYSTINURI... (OMIM:277410)"
"GFPT1 (2673)","MYASTHENIC SYNDROME, CONGENITAL, WITH TU... (OMIM:610542), MYASTHENIC SYNDROME, CONGENITAL, 4C, ASS... (OMIM:608931)"
"NDUFS3 (4722)","Isolated complex I deficiency (ORPHA:2609), MITOCHONDRIAL COMPLEX I DEFICIENCY (OMIM:252010), LEIGH SYNDROME (OMIM:256000)"
